Source,Target
Q795498,Q2432613
Q8071265,Q19168
Q814693,Q26375
Q827262,Q838744
Q829334,Q9304816
Q830385,Q857531
Q835098,Q852812
Q836291,Q10789354
Q836998,Q10811217
Q838744,Q974811
Q839013,Q430821
Q839855,Q974811
Q839857,Q773896
Q840313,Q773896
Q840349,Q773896
Q840849,Q19166
Q84239167,Q725342
Q843185,Q925476
Q843266,Q625342
Q844415,Q26375
Q845065,Q14690166
Q845408,Q728995
Q845992,Q838744
Q847190,Q1069587
Q848140,Q1071983
Q849184,Q625342
Q849987,Q455997
Q849988,Q852812
Q852146,Q10802953
Q852185,Q863604
Q852812,Q974811
Q852864,Q838744
Q853058,Q19168
Q854855,Q1028983
Q857531,Q72968
Q857597,Q1073958
Q857651,Q1073958
Q857888,Q535829
Q859950,Q1073958
Q860730,Q929516
Q860944,Q1073958
Q863604,Q974811
Q868051,Q10749353
Q868183,Q1073958
Q868271,Q72968
Q869040,Q740872
Q869569,Q1037395
Q870092,Q625342
Q870099,Q625342
Q873310,Q256637
Q873437,Q455997
Q873459,Q256637
Q875498,Q773896
Q875936,Q1080907
Q87763916,Q201240
Q88077133,Q19168
Q882926,Q10826908
Q882949,Q257832
Q899705,Q15865426
Q899732,Q773896
Q899806,Q1073958
Q899828,Q18379868
Q901228,Q4120496
Q901824,Q455997
Q901916,Q632986
Q901942,Q632986
