Source,Label,Target
Q20679105,Q20679105_Lophogallus,Q26375
Q20717861,Q20717861_Laornithidae,Q19168
Q20719997,Q20719997_マダラシャコ,Q844415
Q20727609,Q20727609_Anisolornis,Q15731102
Q20728897,Q20728897_Coturnipes,Q26375
Q20729349,Q20729349_Minggangia,Q5113
Q20729579,Q20729579_Percolinus,Q26375
Q20729774,Q20729774_Smiliornis,Q25557
Q20730092,Q20730092_Talantatos,Q25557
Q20731308,Q20731308_Telecrex,Q20731309
Q20731309,Q20731309_Numidinae,Q26375
Q20731723,Q20731723_Tshulia,Q5113
Q20740,Q20740_サイチョウ目,Q5113
Q20830886,Q20830886_クロアシアカノドシャコ,Q844415
Q2087629,Q2087629_始祖鳥科,Q16183713
Q20991814,Q20991814_Jeholornithiformes,Q5113
Q21078820,Q21078820_Megavitiornis,Q213536
Q21078871,Q21078871_Proagriocharis,Q1241572
Q21078895,Q21078895_Praeornis,Q21292513
Q21078901,Q21078901_Rhegminornis,Q26375
Q21197421,Q21197421_Admirable Hummingbird,Q10759477
Q21216077,Q21216077_Saurornithes,Q5113
Q21218937,Q21218937_Anomalopteryginae,Q21447698
Q21220594,Q21220594_Dinornithinae,Q452969
Q21223267,Q21223267_Emeinae,Q21447698
Q21226867,Q21226867_Popelairia,Q1073958
Q212526,Q212526_トリニダードナキシャクケイ,Q2415068
Q21252689,Q21252689_Crex nigra,Q869569
Q21267081,Q21267081_Heliactin bilopha,Q10766392
Q21276404,Q21276404_Leucippus hypostictus,Q584362
Q21291219,Q21291219_Parvigruidae,Q25557
Q21291594,Q21291594_Remiornithidae,Q19166
Q21292359,Q21292359_Eremopezidae,Q19166
Q21292514,Q21292514_Praeornithiformes,Q5113
Q21306841,Q21306841_Trochilus ourissa,Q687310
Q21306845,Q21306845_Trochilus forficatus,Q687310
Q21308826,Q21308826_Rheinardia nigrescens,Q14690166
Q21320430,Q21320430_Meleagris cristata,Q43794
Q21326338,Q21326338_Oreotrochilus stolzmanni,Q256637
Q21334133,Q21334133_Tetraogallini,Q26375
Q21345343,Q21345343_Callipepla squamata squamata,Q786840
Q21351934,Q21351934_Yandangithidae,Q21351929
Q21351946,Q21351946_Liaoxiornithidae,Q21351941
Q21351973,Q21351973_Gansuiformes,Q19166
Q21351983,Q21351983_Palaeocursornithiformes,Q19166
Q21352712,Q21352712_Quercymegapodiidae,Q21659
Q213536,Q213536_ツカツクリ科,Q21659
