id	parent_taxon
Q3315267	Q193807
Q27635764	Q26552
Q40987707	Q2719515
Q106446945	Q29564928
Q41010796	Q10803699
Q50272172	Q3845995
Q27635165	Q1590302
Q31874272	Q2387360
Q168677	Q13428439
Q27617799	Q658363
Q41088693	Q40655679
Q27632058	Q1588883
Q27628665	Q3233141
Q62395566	Q54974349
Q31617	Q674094
Q27616294	Q1264360
Q27620754	Q1304963
Q27602442	Q1268200
Q27634422	Q1070285
Q27075762	Q4540417
Q783389	Q18720628
Q27626780	Q3726251
Q109578523	Q838599
Q27617315	Q1261956
Q41024720	Q687310
Q107333179	Q107272755
Q1305548	Q2234141
Q776555	Q10808271
Q649024	Q269203
Q27621415	Q1923214
Q27623038	Q25405
Q27638355	Q1589667
Q10803654	Q26381
Q41017014	Q940685
Q106447617	Q310853
Q21358445	Q320193
Q490294	Q1991437
Q40982859	Q804438
Q27621661	Q705505
Q21347019	Q1306678
Q40688744	Q599334
Q27618391	Q1267663
Q27622783	Q549139
Q945149	Q1078472
Q27629752	Q156767
Q27622196	Q74084
Q27616855	Q1272035
Q27622373	Q1923245
Q40516286	Q834638
Q1588883	Q989763
Q28109033	Q310935
Q1951909	Q25565
Q548024	Q19401
Q1265989	Q913555
Q109578188	Q581391
Q1301996	Q1081954
Q15707902	Q3383499
Q1273813	Q278941
Q21358825	Q26844240
Q41006506	Q230042
Q27633604	Q27075709
Q2225631	Q859641
Q27636978	Q525818
Q929503	Q214264
Q27609435	Q1066498
Q27616973	Q1272878
Q28871213	Q829925
Q664917	Q668938
Q27614481	Q594083
Q27627341	Q73344
Q28605816	Q2188600
Q27631301	Q589946
Q24741612	Q1887740
Q27604859	Q469940
Q788836	Q2703151
Q106447685	Q834182
Q41019631	Q27961993
Q246468	Q14680
Q27603157	Q899810
Q27628730	Q795545
Q27616247	Q1265609
Q27637890	Q1042519
Q27613973	Q135469
Q1260809	Q580846
Q27622518	Q541440
Q28867732	Q2188600
Q3090715	Q842978
Q21345984	Q253464
Q40991622	Q592718
Q41099047	Q40656741
Q27630706	Q1588010
Q98140019	Q2465230
Q27611079	Q1272657
Q21447698	Q452969
Q26248	Q1082554
Q28122808	Q220705
Q41134148	Q40659643
Q27601404	Q251842
Q3306590	Q269203
Q27611391	Q321267
Q1081105	Q1082724
Q18120708	Q386521
Q3181482	Q2387360
Q27638106	Q204052
