audio_id	path	book_id	曲名	全長	分布	季節	環境
2_44	db/日本野鳥大鑑2/44 イカルチドリ.wav	2	44 イカルチドリ	20.5㎝	全国。北海道では夏	留鳥または漂鳥	河川中流
2_45	db/日本野鳥大鑑2/45 シロチドリ.wav	2	45 シロチドリ	17.5㎝	全国。北海道では夏	留鳥または漂鳥	河川、河口、干潟
2_46	db/日本野鳥大鑑2/46 メダイチドリ.wav	2	46 メダイチドリ	19.5㎝	全国	旅鳥	干潟
2_47	db/日本野鳥大鑑2/47 ムナグロ.wav	2	47 ムナグロ	24㎝	全国	旅鳥	水田、河原、干潟
2_48	db/日本野鳥大鑑2/48 ダイゼン.wav	2	48 ダイゼン	29.5㎝	全国。関東地方以南で越冬	旅鳥または留鳥	干潟
2_49	db/日本野鳥大鑑2/49 ケリ.wav	2	49 ケリ	35.5㎝	本州	留鳥	水田、河原、草地、干潟
2_50	db/日本野鳥大鑑2/50 タゲリ.wav	2	50 タゲリ	31.5㎝	本州以南。北陸地方、関東地方では繁殖記録がある	おもに冬鳥	水田、干潟
2_51	db/日本野鳥大鑑2/51 キョウジョシギ.wav	2	51 キョウジョシギ	22㎝	全国	旅鳥	干潟、海岸
2_52	db/日本野鳥大鑑2/52 トウネン.wav	2	52 トウネン	15㎝	全国	旅鳥	干潟
2_53	db/日本野鳥大鑑2/53 ハマシギ.wav	2	53 ハマシギ	21㎝	全国	冬鳥	干潟
2_54	db/日本野鳥大鑑2/54 ミユビシギ.wav	2	54 ミユビシギ	19㎝	本州の太平洋側、四国、九州	旅鳥あるいは冬鳥	砂浜、干潟
2_55	db/日本野鳥大鑑2/55 ツルシギ.wav	2	55 ツルシギ	32.5㎝	全国	旅鳥	干潟、水田、湿地
2_56	db/日本野鳥大鑑2/56 アカアシシギ.wav	2	56 アカアシシギ	27.5㎝	全国。北海道東部で繁殖	夏鳥または旅鳥	干潟、繁殖は湿地
2_57	db/日本野鳥大鑑2/57 アオアシシギ.wav	2	57 アオアシシギ	35㎝	全国	旅鳥	干潟、水田
2_58	db/日本野鳥大鑑2/58 タカブシギ.wav	2	58 タカブシギ	21.5㎝	全国	旅鳥。越冬例もある	干潟、埋立地
2_59	db/日本野鳥大鑑2/59 キアシシギ.wav	2	59 キアシシギ	25㎝	全国	旅鳥	干潟、河川、岩礁
2_60	db/日本野鳥大鑑2/60 イソシギ.wav	2	60 イソシギ	20㎝	繁殖は全国。越冬は東北地方以南	夏鳥または漂鳥	河川中流、海岸
2_61	db/日本野鳥大鑑2/61 ソリハシシギ.wav	2	61 ソリハシシギ	23㎝	全国	旅鳥	干潟
2_62	db/日本野鳥大鑑2/62 オグロシギ.wav	2	62 オグロシギ	38.5㎝	全国	旅鳥	干潟、海辺の水田など
2_63	db/日本野鳥大鑑2/63 オオソリハシシギ.wav	2	63 オオソリハシシギ	41㎝	全国	旅鳥	干潟
2_64	db/日本野鳥大鑑2/64 ダイシャクシギ.wav	2	64 ダイシャクシギ	60㎝	全国	旅鳥または留鳥	干潟
2_65	db/日本野鳥大鑑2/65 ホウロクシギ.wav	2	65 ホウロクシギ	61.5㎝	全国	旅鳥または留鳥	干潟
2_66	db/日本野鳥大鑑2/66 チュウシャクシギ.wav	2	66 チュウシャクシギ	42㎝	全国	旅鳥	干潟、水田
2_67	db/日本野鳥大鑑2/67 ヤマシギ.wav	2	67 ヤマシギ	34㎝	繁殖は本州以北。越冬は本州以南	留鳥または漂鳥	平地から丘陵地の林や沢
2_68	db/日本野鳥大鑑2/68 アマミヤマシギ.wav	2	68 アマミヤマシギ	36㎝	奄美諸島、沖縄諸島	留鳥	森林、農耕地
2_69	db/日本野鳥大鑑2/69 タシギ.wav	2	69 タシギ	27㎝	本州以南	おもに冬鳥	水田、湿地
2_70	db/日本野鳥大鑑2/70 オオジシギ.wav	2	70 オオジシギ	30㎝	本州から北海道で繁殖	夏鳥。繁殖地以外では旅鳥	繁殖地は草地、高原、牧場など。渡り途中は水田、湿地など
2_71	db/日本野鳥大鑑2/71 セイタカシギ.wav	2	71 セイタカシギ	32㎝	全国	旅鳥または留鳥	水田、埋立地、干潟
2_72	db/日本野鳥大鑑2/72 ハイイロヒレアシシギ.wav	2	72 ハイイロヒレアシシギ	22㎝	全国	旅鳥	内湾、外洋
2_73	db/日本野鳥大鑑2/73 アカエリヒレアシシギ.wav	2	73 アカエリヒレアシシギ	19㎝	全国	旅鳥	内湾、沖合
2_74	db/日本野鳥大鑑2/74 ツバメチドリ.wav	2	74 ツバメチドリ	26.5㎝	全国	おもに旅鳥または留鳥。一部夏鳥	干潟、埋立地、河原
3_01	db/日本野鳥大鑑3/01 トウゾクカモメ.wav	3	01 トウゾクカモメ	54㎝、翼開長124㎝	ほぼ全国	おもに旅鳥	外洋、内湾などの海辺
3_02	db/日本野鳥大鑑3/02 ユリカモメ.wav	3	02 ユリカモメ	40㎝、翼開長92㎝	全国	冬鳥	海岸、河川、湖沼
3_03	db/日本野鳥大鑑3/03 セグロカモメ.wav	3	03 セグロカモメ	60㎝、翼開長135㎝	全国	冬鳥	海岸、河川
3_04	db/日本野鳥大鑑3/04 オオセグロカモメ.wav	3	04 オオセグロカモメ	61㎝、翼開長135㎝	繁殖は北海道、東北地方。越冬は本州以南	留鳥または冬鳥	海岸
